913388,329,8/31/2015 20:23,2nd at South Park,64,8/31/2015 20:28,Market at Sansome,77,621,Subscriber,94705
912839,447,8/31/2015 17:03,Embarcadero at Sansome,60,8/31/2015 17:10,Steuart at Market,74,514,Subscriber,94588
912625,661,8/31/2015 15:52,Broadway St at Battery St,82,8/31/2015 16:03,San Francisco Caltrain (Townsend at 4th),70,338,Subscriber,95054
912121,533,8/31/2015 9:04,Golden Gate at Polk,59,8/31/2015 9:13,Yerba Buena Center of the Arts (3rd @ Howard),68,284,Subscriber,94941
911460,5848,8/30/2015 15:45,Embarcadero at Vallejo,48,8/30/2015 17:23,Embarcadero at Sansome,60,434,Customer,94704
910903,1135,8/29/2015 12:52,Grant Avenue at Columbus Avenue,73,8/29/2015 13:11,2nd at Townsend,61,635,Subscriber,94133
910572,679,8/28/2015 18:56,San Francisco Caltrain 2 (330 Townsend),69,8/28/2015 19:07,Market at 10th,67,609,Subscriber,94103
909916,5413,8/28/2015 12:34,Civic Center BART (7th at Market),72,8/28/2015 14:04,Civic Center BART (7th at Market),72,463,Customer,nil
909722,233,8/28/2015 9:51,Civic Center BART (7th at Market),72,8/28/2015 9:55,5th at Howard,57,456,Subscriber,94118
909576,108,8/28/2015 9:01,Powell Street BART,39,8/28/2015 9:03,5th at Howard,57,505,Subscriber,94024
909542,176,8/28/2015 8:55,Palo Alto Caltrain Station,34,8/28/2015 8:57,Cowper at University,37,689,Subscriber,94102
909336,596,8/28/2015 8:08,San Jose Diridon Caltrain Station,2,8/28/2015 8:18,MLK Library,11,78,Subscriber,94110
909042,261,8/27/2015 20:29,2nd at South Park,64,8/27/2015 20:34,San Francisco Caltrain (Townsend at 4th),70,378,Subscriber,94301
908898,358,8/27/2015 18:41,Yerba Buena Center of the Arts (3rd @ Howard),68,8/27/2015 18:47,San Francisco Caltrain (Townsend at 4th),70,575,Subscriber,94061
908756,752,8/27/2015 17:55,Broadway St at Battery St,82,8/27/2015 18:08,2nd at Townsend,61,158,Subscriber,95111
908384,593,8/27/2015 16:05,MLK Library,11,8/27/2015 16:15,San Jose Diridon Caltrain Station,2,18,Subscriber,94110
908381,646,8/27/2015 16:04,Mechanics Plaza (Market at Battery),75,8/27/2015 16:15,San Francisco Caltrain (Townsend at 4th),70,594,Subscriber,94403
908055,1489,8/27/2015 11:42,San Francisco Caltrain (Townsend at 4th),70,8/27/2015 12:06,San Francisco Caltrain (Townsend at 4th),70,502,Subscriber,94014
908030,428,8/27/2015 11:26,San Francisco Caltrain 2 (330 Townsend),69,8/27/2015 11:33,5th at Howard,57,313,Subscriber,94402
907923,326,8/27/2015 9:50,San Francisco Caltrain (Townsend at 4th),70,8/27/2015 9:55,Townsend at 7th,65,353,Subscriber,94086
907849,405,8/27/2015 9:26,Steuart at Market,74,8/27/2015 9:33,Embarcadero at Sansome,60,529,Subscriber,94612
907839,711,8/27/2015 9:24,Golden Gate at Polk,59,8/27/2015 9:36,San Francisco Caltrain 2 (330 Townsend),69,313,Subscriber,94107
907832,497,8/27/2015 9:21,Embarcadero at Folsom,51,8/27/2015 9:30,San Francisco Caltrain (Townsend at 4th),70,636,Subscriber,94501
907802,555,8/27/2015 9:13,San Francisco Caltrain 2 (330 Townsend),69,8/27/2015 9:22,Market at Sansome,77,607,Subscriber,95134
907627,409,8/27/2015 8:27,Grant Avenue at Columbus Avenue,73,8/27/2015 8:34,Clay at Battery,41,687,Subscriber,94133
907559,1033,8/27/2015 8:12,Market at 4th,76,8/27/2015 8:29,Embarcadero at Sansome,60,563,Subscriber,94122
907433,436,8/27/2015 7:40,Temporary Transbay Terminal (Howard at Beale),55,8/27/2015 7:47,Market at 4th,76,415,Subscriber,94501
906910,200,8/26/2015 17:57,Market at Sansome,77,8/26/2015 18:00,Temporary Transbay Terminal (Howard at Beale),55,509,Subscriber,94618
906797,358,8/26/2015 17:28,Embarcadero at Sansome,60,8/26/2015 17:34,Steuart at Market,74,472,Subscriber,94595
906645,1021,8/26/2015 16:54,Broadway St at Battery St,82,8/26/2015 17:11,San Francisco Caltrain 2 (330 Townsend),69,427,Subscriber,94025
906199,224,8/26/2015 11:41,Steuart at Market,74,8/26/2015 11:44,Mechanics Plaza (Market at Battery),75,284,Subscriber,94133
905646,92,8/26/2015 8:09,2nd at Townsend,61,8/26/2015 8:11,2nd at South Park,64,371,Subscriber,94107
905376,751,8/25/2015 23:06,San Francisco Caltrain 2 (330 Townsend),69,8/25/2015 23:19,South Van Ness at Market,66,443,Subscriber,94103
905332,170,8/25/2015 21:04,Howard at 2nd,63,8/25/2015 21:07,Market at Sansome,77,506,Subscriber,94117
905107,1169,8/25/2015 18:36,Embarcadero at Sansome,60,8/25/2015 18:55,Market at 4th,76,501,Subscriber,94122
905017,249,8/25/2015 18:10,Post at Kearny,47,8/25/2015 18:14,Clay at Battery,41,325,Subscriber,94111
904635,941,8/25/2015 16:26,Broadway St at Battery St,82,8/25/2015 16:42,San Francisco Caltrain (Townsend at 4th),70,454,Subscriber,94107
903963,806,8/25/2015 8:56,Golden Gate at Polk,59,8/25/2015 9:09,San Francisco Caltrain 2 (330 Townsend),69,366,Subscriber,94102
903944,302,8/25/2015 8:52,Mountain View Caltrain Station,28,8/25/2015 8:57,Evelyn Park and Ride,30,141,Subscriber,94108
903933,441,8/25/2015 8:51,2nd at Townsend,61,8/25/2015 8:58,Townsend at 7th,65,606,Subscriber,94107
903794,973,8/25/2015 8:11,San Francisco Caltrain (Townsend at 4th),70,8/25/2015 8:27,Golden Gate at Polk,59,290,Subscriber,94305
903555,536,8/25/2015 6:44,San Francisco Caltrain (Townsend at 4th),70,8/25/2015 6:53,Temporary Transbay Terminal (Howard at Beale),55,877,Subscriber,94403
903522,620,8/25/2015 4:37,Market at 10th,67,8/25/2015 4:47,Washington at Kearny,46,320,Subscriber,94102
903315,231,8/24/2015 18:53,Broadway St at Battery St,82,8/24/2015 18:57,Steuart at Market,74,607,Subscriber,94706
902956,619,8/24/2015 17:08,Market at 10th,67,8/24/2015 17:18,Market at 4th,76,287,Subscriber,94112
902843,414,8/24/2015 16:32,Market at 10th,67,8/24/2015 16:39,San Francisco Caltrain 2 (330 Townsend),69,555,Subscriber,94404
902703,248,8/24/2015 15:33,Townsend at 7th,65,8/24/2015 15:37,San Francisco Caltrain (Townsend at 4th),70,270,Subscriber,94043
902394,646,8/24/2015 9:39,Townsend at 7th,65,8/24/2015 9:50,Yerba Buena Center of the Arts (3rd @ Howard),68,283,Subscriber,94107
902324,745,8/24/2015 9:17,Market at 10th,67,8/24/2015 9:29,2nd at Townsend,61,449,Subscriber,94549
902164,424,8/24/2015 8:37,2nd at Townsend,61,8/24/2015 8:44,Townsend at 7th,65,408,Subscriber,94107
901664,1139,8/23/2015 15:12,Market at 4th,76,8/23/2015 15:31,Embarcadero at Vallejo,48,322,Customer,16509
901191,633,8/22/2015 13:33,Civic Center BART (7th at Market),72,8/22/2015 13:44,Steuart at Market,74,525,Customer,11206
901022,441,8/22/2015 10:54,Spear at Folsom,49,8/22/2015 11:02,Harry Bridges Plaza (Ferry Building),50,348,Customer,94105
900610,648,8/21/2015 17:30,Steuart at Market,74,8/21/2015 17:41,San Francisco Caltrain 2 (330 Townsend),69,473,Subscriber,94024
900263,417,8/21/2015 15:15,Harry Bridges Plaza (Ferry Building),50,8/21/2015 15:22,Embarcadero at Sansome,60,450,Subscriber,94133
900041,532,8/21/2015 11:14,Beale at Market,56,8/21/2015 11:22,2nd at Townsend,61,463,Subscriber,94107
899978,385,8/21/2015 10:23,Mechanics Plaza (Market at Battery),75,8/21/2015 10:29,Spear at Folsom,49,109,Subscriber,94002
899703,734,8/21/2015 8:50,San Francisco Caltrain 2 (330 Townsend),69,8/21/2015 9:02,South Van Ness at Market,66,300,Subscriber,94010
899324,341,8/20/2015 22:04,Beale at Market,56,8/20/2015 22:10,Embarcadero at Bryant,54,604,Subscriber,94105
898848,651,8/20/2015 17:17,2nd at Townsend,61,8/20/2015 17:28,Mechanics Plaza (Market at Battery),75,540,Subscriber,94609
898314,580,8/20/2015 10:48,San Francisco Caltrain (Townsend at 4th),70,8/20/2015 10:58,Embarcadero at Folsom,51,449,Subscriber,95129
897732,216,8/20/2015 7:32,Temporary Transbay Terminal (Howard at Beale),55,8/20/2015 7:36,2nd at Folsom,62,404,Subscriber,94602
897728,346,8/20/2015 7:31,Powell at Post (Union Square),71,8/20/2015 7:36,Howard at 2nd,63,512,Subscriber,94109
897659,217,8/20/2015 6:59,2nd at South Park,64,8/20/2015 7:03,San Francisco Caltrain (Townsend at 4th),70,292,Subscriber,94107
897179,370,8/19/2015 17:45,San Francisco Caltrain 2 (330 Townsend),69,8/19/2015 17:51,Townsend at 7th,65,413,Subscriber,94610
897143,224,8/19/2015 17:39,2nd at Folsom,62,8/19/2015 17:42,Market at Sansome,77,315,Subscriber,94920
896890,120,8/19/2015 16:42,Market at 4th,76,8/19/2015 16:44,Market at 4th,76,447,Customer,94546
896716,1862,8/19/2015 15:07,2nd at Townsend,61,8/19/2015 15:38,Embarcadero at Sansome,60,408,Customer,94105
895995,453,8/19/2015 7:58,2nd at Townsend,61,8/19/2015 8:06,Townsend at 7th,65,340,Subscriber,94107
895616,764,8/18/2015 18:46,San Jose Diridon Caltrain Station,2,8/18/2015 18:58,Japantown,9,223,Subscriber,95112
894907,3128,8/18/2015 14:16,Market at 10th,67,8/18/2015 15:09,Market at 10th,67,436,Customer,nil
894588,338,8/18/2015 9:38,Post at Kearny,47,8/18/2015 9:44,Steuart at Market,74,312,Subscriber,94108
894496,374,8/18/2015 9:10,Market at 4th,76,8/18/2015 9:17,Market at 10th,67,376,Subscriber,94109
894371,262,8/18/2015 8:46,Mountain View Caltrain Station,28,8/18/2015 8:51,Mountain View City Hall,27,192,Subscriber,94105
894002,317,8/18/2015 6:49,San Francisco Caltrain 2 (330 Townsend),69,8/18/2015 6:55,Howard at 2nd,63,379,Subscriber,94107
893692,509,8/17/2015 18:18,Embarcadero at Folsom,51,8/17/2015 18:27,San Francisco Caltrain (Townsend at 4th),70,409,Subscriber,94087
893180,469,8/17/2015 16:05,Embarcadero at Folsom,51,8/17/2015 16:13,San Francisco Caltrain 2 (330 Townsend),69,541,Subscriber,95118
892352,277,8/17/2015 8:07,Steuart at Market,74,8/17/2015 8:12,Broadway St at Battery St,82,483,Subscriber,94702
891885,1763,8/16/2015 14:56,Embarcadero at Folsom,51,8/16/2015 15:25,2nd at Folsom,62,510,Customer,94618
891429,23085,8/15/2015 16:08,Civic Center BART (7th at Market),72,8/15/2015 22:33,Civic Center BART (7th at Market),72,581,Customer,nil
891324,957,8/15/2015 14:01,Howard at 2nd,63,8/15/2015 14:17,Harry Bridges Plaza (Ferry Building),50,464,Customer,92127
891321,958,8/15/2015 13:52,Steuart at Market,74,8/15/2015 14:08,Embarcadero at Sansome,60,66,Customer,33178
891218,285,8/15/2015 11:45,Townsend at 7th,65,8/15/2015 11:50,San Francisco Caltrain 2 (330 Townsend),69,329,Subscriber,94107
891037,252,8/14/2015 20:46,5th at Howard,57,8/14/2015 20:51,Powell Street BART,39,309,Subscriber,94110
890478,453,8/14/2015 16:14,2nd at Townsend,61,8/14/2015 16:22,Embarcadero at Folsom,51,632,Subscriber,94609
890409,1120,8/14/2015 15:30,Embarcadero at Sansome,60,8/14/2015 15:49,San Francisco Caltrain (Townsend at 4th),70,441,Subscriber,95129
890296,550,8/14/2015 13:27,Embarcadero at Folsom,51,8/14/2015 13:36,Broadway St at Battery St,82,517,Customer,94109
889954,700,8/14/2015 9:20,2nd at Townsend,61,8/14/2015 9:32,Broadway St at Battery St,82,538,Subscriber,95111
889952,529,8/14/2015 9:20,2nd at Townsend,61,8/14/2015 9:29,Spear at Folsom,49,524,Subscriber,89451
889822,844,8/14/2015 8:48,Market at 10th,67,8/14/2015 9:02,2nd at Townsend,61,288,Subscriber,94107
889699,490,8/14/2015 8:11,Market at 4th,76,8/14/2015 8:19,San Francisco Caltrain (Townsend at 4th),70,501,Subscriber,94105
