913057,590,8/31/2015 17:52,Spear at Folsom,49,8/31/2015 18:02,San Francisco Caltrain (Townsend at 4th),70,611,Subscriber,94404
912175,1071,8/31/2015 9:18,Temporary Transbay Terminal (Howard at Beale),55,8/31/2015 9:36,South Van Ness at Market,66,368,Subscriber,94611
911771,511,8/31/2015 7:39,Spear at Folsom,49,8/31/2015 7:47,San Francisco Caltrain (Townsend at 4th),70,289,Subscriber,94301
911642,488,8/31/2015 6:39,Davis at Jackson,42,8/31/2015 6:47,Post at Kearny,47,456,Subscriber,94111
911580,1265,8/30/2015 20:13,Embarcadero at Sansome,60,8/30/2015 20:34,Townsend at 7th,65,277,Subscriber,94107
911250,347,8/30/2015 10:35,Golden Gate at Polk,59,8/30/2015 10:41,5th at Howard,57,321,Subscriber,94109
910491,618,8/28/2015 18:12,Steuart at Market,74,8/28/2015 18:23,San Francisco Caltrain (Townsend at 4th),70,413,Subscriber,94025
909088,792,8/27/2015 21:45,Civic Center BART (7th at Market),72,8/27/2015 21:59,2nd at Townsend,61,454,Subscriber,94040
908993,619,8/27/2015 19:47,5th at Howard,57,8/27/2015 19:58,2nd at Folsom,62,601,Subscriber,94042
908891,403,8/27/2015 18:38,Market at 4th,76,8/27/2015 18:45,San Francisco Caltrain 2 (330 Townsend),69,621,Subscriber,2139
908769,745,8/27/2015 17:57,2nd at Townsend,61,8/27/2015 18:10,Davis at Jackson,42,266,Subscriber,94111
908746,655,8/27/2015 17:53,Clay at Battery,41,8/27/2015 18:04,2nd at Townsend,61,350,Subscriber,94107
908649,538,8/27/2015 17:30,Powell Street BART,39,8/27/2015 17:39,San Francisco Caltrain 2 (330 Townsend),69,361,Subscriber,94002
908363,1095,8/27/2015 15:57,2nd at South Park,64,8/27/2015 16:15,Market at 10th,67,554,Customer,1
908344,286,8/27/2015 15:49,San Francisco Caltrain 2 (330 Townsend),69,8/27/2015 15:54,Townsend at 7th,65,541,Subscriber,94015
908137,282,8/27/2015 12:42,Embarcadero at Bryant,54,8/27/2015 12:46,2nd at Townsend,61,351,Subscriber,94582
907739,566,8/27/2015 8:57,Harry Bridges Plaza (Ferry Building),50,8/27/2015 9:06,Powell Street BART,39,326,Subscriber,94941
907392,636,8/27/2015 7:17,Ryland Park,84,8/27/2015 7:27,San Jose Diridon Caltrain Station,2,708,Subscriber,95112
907309,530,8/27/2015 6:14,Townsend at 7th,65,8/27/2015 6:22,South Van Ness at Market,66,546,Subscriber,94107
907166,324,8/26/2015 19:46,2nd at Folsom,62,8/26/2015 19:51,Spear at Folsom,49,487,Subscriber,94070
906820,643,8/26/2015 17:35,Steuart at Market,74,8/26/2015 17:46,San Francisco Caltrain 2 (330 Townsend),69,563,Subscriber,94010
906677,757,8/26/2015 17:02,Civic Center BART (7th at Market),72,8/26/2015 17:15,Steuart at Market,74,389,Customer,80020
906652,672,8/26/2015 16:57,Embarcadero at Folsom,51,8/26/2015 17:08,San Francisco Caltrain 2 (330 Townsend),69,278,Subscriber,95131
906575,418,8/26/2015 16:29,Grant Avenue at Columbus Avenue,73,8/26/2015 16:36,Market at Sansome,77,570,Subscriber,94133
906279,210,8/26/2015 12:42,Civic Center BART (7th at Market),72,8/26/2015 12:46,Powell Street BART,39,441,Subscriber,94501
906042,850,8/26/2015 9:53,Mountain View Caltrain Station,28,8/26/2015 10:07,San Antonio Shopping Center,31,255,Subscriber,94109
905995,533,8/26/2015 9:33,Market at 4th,76,8/26/2015 9:42,2nd at South Park,64,517,Subscriber,94526
905716,365,8/26/2015 8:22,2nd at Townsend,61,8/26/2015 8:28,Townsend at 7th,65,335,Subscriber,94107
904881,858,8/25/2015 17:34,2nd at South Park,64,8/25/2015 17:49,San Francisco Caltrain 2 (330 Townsend),69,418,Subscriber,94107
904745,555,8/25/2015 17:00,Embarcadero at Folsom,51,8/25/2015 17:09,San Francisco Caltrain (Townsend at 4th),70,328,Subscriber,94085
904738,414,8/25/2015 16:58,2nd at South Park,64,8/25/2015 17:05,San Francisco Caltrain (Townsend at 4th),70,401,Subscriber,95112
904502,315,8/25/2015 15:03,Market at 4th,76,8/25/2015 15:09,Commercial at Montgomery,45,111,Subscriber,94107
904119,920,8/25/2015 9:37,Civic Center BART (7th at Market),72,8/25/2015 9:52,Townsend at 7th,65,471,Subscriber,94618
904080,589,8/25/2015 9:28,2nd at Townsend,61,8/25/2015 9:38,Harry Bridges Plaza (Ferry Building),50,288,Subscriber,94107
903848,206,8/25/2015 8:29,San Francisco Caltrain 2 (330 Townsend),69,8/25/2015 8:33,Townsend at 7th,65,534,Subscriber,94065
903768,665,8/25/2015 8:07,Harry Bridges Plaza (Ferry Building),50,8/25/2015 8:18,2nd at South Park,64,567,Subscriber,94510
903426,178,8/24/2015 20:05,San Francisco Caltrain (Townsend at 4th),70,8/24/2015 20:08,2nd at Townsend,61,29,Subscriber,94107
902645,506,8/24/2015 14:10,Temporary Transbay Terminal (Howard at Beale),55,8/24/2015 14:19,Grant Avenue at Columbus Avenue,73,343,Subscriber,94133
902276,329,8/24/2015 9:05,Steuart at Market,74,8/24/2015 9:11,Embarcadero at Sansome,60,475,Subscriber,94611
902241,390,8/24/2015 8:57,2nd at Folsom,62,8/24/2015 9:03,Commercial at Montgomery,45,623,Subscriber,94107
902133,781,8/24/2015 8:29,San Francisco Caltrain (Townsend at 4th),70,8/24/2015 8:42,Steuart at Market,74,530,Subscriber,95051
902076,592,8/24/2015 8:10,San Francisco Caltrain 2 (330 Townsend),69,8/24/2015 8:20,Market at 4th,76,535,Subscriber,95123
900925,964,8/22/2015 1:26,Spear at Folsom,49,8/22/2015 1:42,Powell at Post (Union Square),71,630,Subscriber,94102
900783,1576,8/21/2015 18:37,Redwood City Caltrain Station,22,8/21/2015 19:03,San Mateo County Center,23,136,Customer,16100
900238,413,8/21/2015 14:47,Post at Kearny,47,8/21/2015 14:54,5th at Howard,57,451,Subscriber,94110
900143,518,8/21/2015 12:44,5th at Howard,57,8/21/2015 12:52,San Francisco Caltrain (Townsend at 4th),70,354,Subscriber,94117
899698,384,8/21/2015 8:49,San Francisco Caltrain (Townsend at 4th),70,8/21/2015 8:56,Howard at 2nd,63,443,Subscriber,94306
899458,388,8/21/2015 7:29,San Jose Diridon Caltrain Station,2,8/21/2015 7:36,San Pedro Square,6,205,Subscriber,94110
899456,246,8/21/2015 7:29,Townsend at 7th,65,8/21/2015 7:33,San Francisco Caltrain 2 (330 Townsend),69,395,Subscriber,94107
899053,753,8/20/2015 18:13,Embarcadero at Bryant,54,8/20/2015 18:25,Embarcadero at Sansome,60,331,Subscriber,94111
898547,1129,8/20/2015 15:35,Embarcadero at Sansome,60,8/20/2015 15:53,San Francisco Caltrain (Townsend at 4th),70,519,Subscriber,95129
