913246,769,8/31/2015 18:55,San Francisco Caltrain (Townsend at 4th),70,8/31/2015 19:08,Harry Bridges Plaza (Ferry Building),50,587,Subscriber,94107
913093,701,8/31/2015 18:00,Market at Sansome,77,8/31/2015 18:11,Golden Gate at Polk,59,599,Subscriber,94105
912977,526,8/31/2015 17:35,Temporary Transbay Terminal (Howard at Beale),55,8/31/2015 17:43,San Francisco Caltrain 2 (330 Townsend),69,507,Subscriber,94025
912420,2250,8/31/2015 11:59,2nd at South Park,64,8/31/2015 12:36,5th at Howard,57,321,Subscriber,94939
912169,339,8/31/2015 9:17,5th at Howard,57,8/31/2015 9:22,Market at 10th,67,599,Subscriber,94107
911828,525,8/31/2015 8:00,2nd at Folsom,62,8/31/2015 8:09,San Francisco Caltrain (Townsend at 4th),70,402,Subscriber,94549
911646,493,8/31/2015 6:42,Paseo de San Antonio,7,8/31/2015 6:50,San Jose Diridon Caltrain Station,2,679,Subscriber,95113
911418,666,8/30/2015 15:05,Washington at Kearny,46,8/30/2015 15:16,Temporary Transbay Terminal (Howard at Beale),55,407,Subscriber,94608
911268,9791,8/30/2015 10:44,Market at Sansome,77,8/30/2015 13:27,Grant Avenue at Columbus Avenue,73,629,Customer,nil
911011,284,8/29/2015 16:06,Grant Avenue at Columbus Avenue,73,8/29/2015 16:10,Market at Sansome,77,557,Subscriber,94133
910985,11135,8/29/2015 15:27,Steuart at Market,74,8/29/2015 18:33,Grant Avenue at Columbus Avenue,73,370,Customer,81611
910818,628,8/29/2015 11:17,Mountain View Caltrain Station,28,8/29/2015 11:27,Mountain View City Hall,27,700,Subscriber,94041
910797,1122,8/29/2015 10:42,Embarcadero at Bryant,54,8/29/2015 11:01,Grant Avenue at Columbus Avenue,73,383,Subscriber,94105
910239,587,8/28/2015 16:57,Steuart at Market,74,8/28/2015 17:07,San Francisco Caltrain (Townsend at 4th),70,342,Subscriber,94070
909948,262,8/28/2015 13:18,Market at 4th,76,8/28/2015 13:23,Civic Center BART (7th at Market),72,393,Subscriber,94602
909720,640,8/28/2015 9:50,Golden Gate at Polk,59,8/28/2015 10:00,2nd at South Park,64,360,Subscriber,94109
909545,344,8/28/2015 8:55,Grant Avenue at Columbus Avenue,73,8/28/2015 9:01,Market at Sansome,77,370,Subscriber,94133
909506,727,8/28/2015 8:48,Townsend at 7th,65,8/28/2015 9:01,2nd at Folsom,62,584,Subscriber,94107
909292,394,8/28/2015 7:51,2nd at Townsend,61,8/28/2015 7:58,Harry Bridges Plaza (Ferry Building),50,592,Subscriber,94107
908357,844,8/27/2015 15:56,Embarcadero at Bryant,54,8/27/2015 16:10,Harry Bridges Plaza (Ferry Building),50,590,Customer,nil
908265,590,8/27/2015 14:49,Market at 10th,67,8/27/2015 14:59,5th at Howard,57,314,Customer,10002
907703,899,8/27/2015 8:50,San Francisco Caltrain (Townsend at 4th),70,8/27/2015 9:05,Embarcadero at Folsom,51,403,Subscriber,94062
907547,497,8/27/2015 8:09,San Francisco Caltrain 2 (330 Townsend),69,8/27/2015 8:17,Market at Sansome,77,454,Subscriber,94303
907465,675,8/27/2015 7:51,San Francisco Caltrain (Townsend at 4th),70,8/27/2015 8:02,Clay at Battery,41,353,Subscriber,94065
906902,1158,8/26/2015 17:56,Clay at Battery,41,8/26/2015 18:15,San Francisco Caltrain 2 (330 Townsend),69,607,Subscriber,94158
906553,543,8/26/2015 16:19,Clay at Battery,41,8/26/2015 16:28,5th at Howard,57,618,Subscriber,94925
906358,412,8/26/2015 13:51,Embarcadero at Sansome,60,8/26/2015 13:58,Davis at Jackson,42,459,Subscriber,94111
