913392,359,8/31/2015 20:24,Howard at 2nd,63,8/31/2015 20:30,San Francisco Caltrain (Townsend at 4th),70,501,Subscriber,94062
913383,1435,8/31/2015 20:20,2nd at Townsend,61,8/31/2015 20:44,Embarcadero at Sansome,60,604,Customer,98103
913345,482,8/31/2015 19:58,San Francisco Caltrain 2 (330 Townsend),69,8/31/2015 20:06,Powell Street BART,39,425,Subscriber,94107
912588,486,8/31/2015 15:26,Embarcadero at Sansome,60,8/31/2015 15:34,Commercial at Montgomery,45,487,Subscriber,94102
912073,266,8/31/2015 8:53,Yerba Buena Center of the Arts (3rd @ Howard),68,8/31/2015 8:58,San Francisco Caltrain 2 (330 Townsend),69,368,Subscriber,94105
911561,1026,8/30/2015 19:33,Castro Street and El Camino Real,32,8/30/2015 19:50,Mountain View Caltrain Station,28,90,Customer,94041
911105,1533,8/29/2015 18:06,Paseo de San Antonio,7,8/29/2015 18:32,Paseo de San Antonio,7,250,Customer,94085
911056,2015,8/29/2015 17:11,Grant Avenue at Columbus Avenue,73,8/29/2015 17:44,Spear at Folsom,49,477,Customer,nil
910852,322,8/29/2015 11:57,Spear at Folsom,49,8/29/2015 12:03,Yerba Buena Center of the Arts (3rd @ Howard),68,548,Subscriber,94105
910766,438,8/29/2015 9:41,Mechanics Plaza (Market at Battery),75,8/29/2015 9:48,Embarcadero at Bryant,54,383,Subscriber,94105
910559,523,8/28/2015 18:45,San Jose Diridon Caltrain Station,2,8/28/2015 18:53,San Jose Civic Center,3,304,Subscriber,95136
910271,1053,8/28/2015 17:04,Clay at Battery,41,8/28/2015 17:21,2nd at Townsend,61,472,Subscriber,94107
910176,774,8/28/2015 16:34,Powell at Post (Union Square),71,8/28/2015 16:47,2nd at Townsend,61,529,Subscriber,94109
910020,649,8/28/2015 15:03,Harry Bridges Plaza (Ferry Building),50,8/28/2015 15:14,San Francisco Caltrain (Townsend at 4th),70,271,Subscriber,94062
909855,425,8/28/2015 11:36,Embarcadero at Folsom,51,8/28/2015 11:43,Davis at Jackson,42,335,Subscriber,94111
909685,307,8/28/2015 9:34,5th at Howard,57,8/28/2015 9:39,Market at 4th,76,500,Subscriber,94103
