913133,1058,8/31/2015 18:11,Embarcadero at Vallejo,48,8/31/2015 18:29,Mechanics Plaza (Market at Battery),75,325,Customer,94597
912888,565,8/31/2015 17:12,Mechanics Plaza (Market at Battery),75,8/31/2015 17:21,Market at 10th,67,300,Subscriber,94102
912757,3052,8/31/2015 16:46,Yerba Buena Center of the Arts (3rd @ Howard),68,8/31/2015 17:37,Yerba Buena Center of the Arts (3rd @ Howard),68,359,Customer,10009
911952,459,8/31/2015 8:28,Beale at Market,56,8/31/2015 8:36,2nd at Townsend,61,16,Subscriber,94607
911535,1548,8/30/2015 18:10,Yerba Buena Center of the Arts (3rd @ Howard),68,8/30/2015 18:36,Golden Gate at Polk,59,370,Subscriber,94043
911246,1301,8/30/2015 10:28,Powell Street BART,39,8/30/2015 10:49,Embarcadero at Vallejo,48,607,Customer,60654
911220,6114,8/30/2015 9:28,Embarcadero at Bryant,54,8/30/2015 11:10,Embarcadero at Sansome,60,352,Customer,20817
911147,735,8/29/2015 19:33,Embarcadero at Sansome,60,8/29/2015 19:45,Commercial at Montgomery,45,591,Customer,6067
910968,648,8/29/2015 14:49,2nd at Folsom,62,8/29/2015 15:00,Embarcadero at Folsom,51,383,Customer,nil
910871,886,8/29/2015 12:21,Powell Street BART,39,8/29/2015 12:36,Market at 10th,67,607,Customer,4901
910251,715,8/28/2015 16:59,Temporary Transbay Terminal (Howard at Beale),55,8/28/2015 17:11,San Francisco Caltrain (Townsend at 4th),70,325,Subscriber,94070
910232,595,8/28/2015 16:54,Commercial at Montgomery,45,8/28/2015 17:04,Powell at Post (Union Square),71,422,Subscriber,94111
910075,11128,8/28/2015 15:42,Embarcadero at Sansome,60,8/28/2015 18:47,Steuart at Market,74,478,Customer,nil
910012,643,8/28/2015 15:01,Clay at Battery,41,8/28/2015 15:12,Spear at Folsom,49,586,Customer,94111
909979,400,8/28/2015 14:00,Grant Avenue at Columbus Avenue,73,8/28/2015 14:06,Market at Sansome,77,493,Subscriber,94133
909701,1021,8/28/2015 9:42,San Jose Diridon Caltrain Station,2,8/28/2015 9:59,Adobe on Almaden,5,129,Subscriber,94114
909465,461,8/28/2015 8:39,Embarcadero at Folsom,51,8/28/2015 8:47,2nd at Townsend,61,436,Subscriber,94107
