912448,224,8/31/2015 12:26,2nd at South Park,64,8/31/2015 12:30,San Francisco Caltrain (Townsend at 4th),70,315,Subscriber,94110
912135,718,8/31/2015 9:07,San Francisco Caltrain (Townsend at 4th),70,8/31/2015 9:19,Powell Street BART,39,421,Subscriber,94306
911852,428,8/31/2015 8:04,Commercial at Montgomery,45,8/31/2015 8:11,Davis at Jackson,42,331,Subscriber,94111
910188,1222,8/28/2015 16:37,2nd at Townsend,61,8/28/2015 16:57,Townsend at 7th,65,630,Subscriber,94107
909865,1361,8/28/2015 11:40,Commercial at Montgomery,45,8/28/2015 12:03,2nd at South Park,64,454,Customer,94123
909805,381,8/28/2015 10:58,Temporary Transbay Terminal (Howard at Beale),55,8/28/2015 11:05,Post at Kearny,47,214,Customer,nil
909639,393,8/28/2015 9:22,Harry Bridges Plaza (Ferry Building),50,8/28/2015 9:29,2nd at Townsend,61,636,Subscriber,94901
909572,124,8/28/2015 9:01,Howard at 2nd,63,8/28/2015 9:03,Market at Sansome,77,405,Subscriber,94107
908930,288,8/27/2015 18:57,San Francisco Caltrain 2 (330 Townsend),69,8/27/2015 19:02,2nd at South Park,64,463,Subscriber,94107
908511,930,8/27/2015 16:53,Beale at Market,56,8/27/2015 17:09,San Francisco Caltrain (Townsend at 4th),70,417,Subscriber,94402
908464,728,8/27/2015 16:40,San Francisco Caltrain (Townsend at 4th),70,8/27/2015 16:52,Powell at Post (Union Square),71,492,Subscriber,94109
908253,932,8/27/2015 14:39,Steuart at Market,74,8/27/2015 14:54,San Francisco Caltrain (Townsend at 4th),70,477,Customer,20002
908052,325,8/27/2015 11:39,Powell Street BART,39,8/27/2015 11:44,Market at 10th,67,583,Subscriber,94108
907597,571,8/27/2015 8:22,Market at 10th,67,8/27/2015 8:32,Market at Sansome,77,540,Subscriber,94109
907396,250,8/27/2015 7:20,Townsend at 7th,65,8/27/2015 7:24,San Francisco Caltrain (Townsend at 4th),70,111,Subscriber,94107
906984,1562,8/26/2015 18:16,Broadway St at Battery St,82,8/26/2015 18:42,2nd at Townsend,61,540,Subscriber,95129
906979,549,8/26/2015 18:15,Market at Sansome,77,8/26/2015 18:24,Embarcadero at Sansome,60,314,Subscriber,94133
906889,381,8/26/2015 17:54,Powell Street BART,39,8/26/2015 18:01,Market at 10th,67,602,Subscriber,94102
906615,540,8/26/2015 16:45,5th at Howard,57,8/26/2015 16:54,Harry Bridges Plaza (Ferry Building),50,355,Subscriber,94925
906579,927,8/26/2015 16:31,Commercial at Montgomery,45,8/26/2015 16:47,San Francisco Caltrain (Townsend at 4th),70,437,Subscriber,94010
906085,338,8/26/2015 10:15,Embarcadero at Sansome,60,8/26/2015 10:21,Steuart at Market,74,590,Customer,nil
905539,341,8/26/2015 7:46,Clay at Battery,41,8/26/2015 7:52,Howard at 2nd,63,687,Subscriber,94107
904544,1012,8/25/2015 15:47,Grant Avenue at Columbus Avenue,73,8/25/2015 16:04,Powell at Post (Union Square),71,385,Customer,nil
