50,Harry Bridges Plaza (Ferry Building),23,San Francisco,8/20/2013,37.795392 : -122.394203
62,2nd at Folsom,19,San Francisco,8/22/2013,37.785299 : -122.396236
72,Civic Center BART (7th at Market),23,San Francisco,8/23/2013,37.781039 : -122.411748
